Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,3,4,3,1,0
0,0.0000,0,0.0000,12,265.1667,0.0111,0.0261,0.0000,0.2,2,3,2,1,3,3,0,0
0,0.0000,0,0.0000,2,29.0000,0.0000,0.1000,0.0000,1.0,2,2,4,4,2,3,1,0
0,0.0000,0,0.0000,4,160.0000,0.0000,0.0750,0.0000,0.0,2,4,2,2,3,3,0,0
0,0.0000,0,0.0000,4,135.6667,0.0500,0.0250,0.0000,0.4,2,3,3,1,4,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.2,2,2,4,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.6,2,3,2,3,3,3,0,0
4,56.0000,2,120.0000,36,998.7417,0.0000,0.0147,19.4471,0.2,2,2,2,4,1,3,0,0
0,0.0000,0,0.0000,4,104.0000,0.0000,0.0500,0.0000,0.4,2,2,6,6,3,3,0,0
2,16.0000,0,0.0000,16,381.6865,0.0118,0.0466,0.0000,0.6,2,2,4,2,1,3,0,0
0,0.0000,0,0.0000,6,169.0000,0.0000,0.0167,0.0000,0.4,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,8,400.8000,0.0500,0.1208,0.0000,0.0,2,1,1,1,3,3,0,0
12,279.4167,0,0.0000,42,1553.5833,0.0090,0.0197,38.3085,0.0,2,1,1,3,2,3,0,0
0,0.0000,0,0.0000,14,706.5000,0.0000,0.0071,0.0000,0.0,2,2,2,5,4,3,1,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,2,2,4,3,3,0,0
3,87.8333,0,0.0000,27,798.3333,0.0000,0.0126,22.9160,0.8,2,2,2,3,1,3,0,1
4,44.0000,0,0.0000,90,6951.9722,0.0022,0.0150,0.0000,0.0,2,4,1,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.6,2,2,2,5,1,3,0,0
0,0.0000,0,0.0000,18,902.0000,0.0000,0.0074,0.0000,0.0,2,2,7,2,4,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.2,2,3,2,3,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,2,6,1,2,3,0,0
0,0.0000,0,0.0000,20,197.3778,0.0250,0.0525,0.0000,0.0,2,2,6,6,1,3,0,0
0,0.0000,0,0.0000,2,43.0000,0.0000,0.1000,0.0000,0.4,2,2,2,3,3,3,0,0
0,0.0000,0,0.0000,8,426.6667,0.0000,0.0125,0.0000,0.0,2,2,4,3,2,3,0,0
0,0.0000,0,0.0000,3,135.0000,0.0000,0.0667,0.0000,0.0,2,2,4,3,3,3,0,0
0,0.0000,0,0.0000,16,588.3333,0.0000,0.0250,0.0000,0.0,2,2,4,1,1,3,0,0
10,1005.6667,0,0.0000,36,2111.3417,0.0043,0.0145,11.4394,0.0,2,2,6,1,2,3,0,1
0,0.0000,0,0.0000,2,76.0000,0.0000,0.0500,0.0000,0.6,2,3,2,3,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,1.0,2,1,1,1,3,3,1,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.4,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,7,208.0000,0.0000,0.0286,0.0000,0.0,2,4,1,1,5,3,1,0
0,0.0000,0,0.0000,4,270.0000,0.0000,0.0167,0.0000,0.8,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,6,39.5000,0.0000,0.0200,0.0000,0.0,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,12,375.0000,0.0167,0.0583,0.0000,0.0,2,3,2,4,1,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.8,2,2,2,2,1,3,1,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,7,150.0000,0.0571,0.0857,0.0000,0.0,2,2,2,2,1,3,0,0
0,0.0000,0,0.0000,3,138.0000,0.0000,0.0667,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,7,337.5000,0.0286,0.0238,0.0000,0.4,2,4,1,3,3,3,0,0
0,0.0000,0,0.0000,19,620.0333,0.0000,0.0079,0.0000,0.0,2,1,1,4,2,3,0,0
2,36.0000,0,0.0000,15,168.8462,0.0000,0.0118,0.0000,0.4,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,1,2,3,1,0
0,0.0000,0,0.0000,2,52.0000,0.0000,0.1000,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,13,649.2500,0.0000,0.0154,0.0000,0.0,2,2,2,1,5,2,0,0
0,0.0000,0,0.0000,27,925.3333,0.0037,0.0259,0.0000,0.6,2,4,1,3,3,3,0,0
0,0.0000,0,0.0000,2,33.0000,0.0000,0.1000,0.0000,0.2,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,6,1566.5000,0.0500,0.0667,0.0000,0.2,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,4,105.0000,0.0000,0.0250,0.0000,0.6,2,1,1,1,4,3,0,0
0,0.0000,1,0.0000,7,50.0000,0.0381,0.0810,0.0000,0.6,2,2,4,1,7,3,0,0
0,0.0000,0,0.0000,16,644.2000,0.0042,0.0317,0.0000,0.0,2,3,2,3,4,3,0,0
3,18.3333,0,0.0000,38,2635.1778,0.0000,0.0089,0.0000,0.4,2,2,4,1,2,3,0,0
4,61.0000,0,0.0000,19,607.0000,0.0000,0.0270,17.5360,1.0,2,1,1,7,4,3,1,1
0,0.0000,0,0.0000,6,415.0000,0.0000,0.0333,0.0000,0.4,2,1,1,3,2,3,0,0
2,31.0000,1,16.0000,36,2083.5310,0.0000,0.0135,0.0000,0.8,2,2,2,4,3,3,0,0
3,58.5000,0,0.0000,17,281.6667,0.0071,0.0176,0.0000,0.0,2,1,1,3,4,3,0,0
0,0.0000,0,0.0000,2,27.0000,0.1500,0.1500,0.0000,0.0,2,1,1,7,2,3,0,0
0,0.0000,1,0.0000,9,215.0000,0.0444,0.0741,0.0000,0.8,2,4,1,1,3,3,0,0
0,0.0000,0,0.0000,12,162.0000,0.0500,0.0667,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,2,114.0000,0.0500,0.0667,0.0000,0.8,2,3,3,1,3,3,0,0
6,326.2500,4,94.0000,128,5062.2138,0.0009,0.0179,0.0000,0.0,2,2,5,1,3,3,0,0
0,0.0000,0,0.0000,4,253.0000,0.0000,0.0167,0.0000,0.6,2,2,2,3,3,3,0,0
0,0.0000,0,0.0000,4,0.0000,0.2000,0.2000,0.0000,0.4,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.8,2,1,1,2,3,3,0,0
2,22.0000,0,0.0000,25,436.5000,0.0080,0.0240,0.0000,0.2,2,2,4,1,1,3,0,0
0,0.0000,1,93.0000,30,1045.8333,0.0129,0.0355,0.0000,0.2,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,12,317.8333,0.0000,0.0056,0.0000,0.0,2,1,1,1,4,3,1,0
0,0.0000,0,0.0000,21,1146.3333,0.0000,0.0130,0.0000,0.8,2,3,2,1,3,3,0,0
0,0.0000,0,0.0000,11,577.0000,0.0182,0.0273,0.0000,0.2,2,2,2,3,1,3,0,0
0,0.0000,0,0.0000,8,95.0000,0.0000,0.0750,0.0000,0.0,2,4,1,3,3,3,0,0
0,0.0000,0,0.0000,6,301.5000,0.0000,0.1111,0.0000,0.0,2,2,4,9,3,3,0,0
0,0.0000,0,0.0000,6,243.0000,0.0000,0.0333,0.0000,0.0,2,2,4,4,1,3,0,0
0,0.0000,0,0.0000,4,135.5000,0.0000,0.0500,0.0000,0.6,2,2,2,1,2,3,0,0
0,0.0000,2,75.0000,14,442.3333,0.0000,0.0344,0.0000,0.8,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,3,41.0000,0.0000,0.0667,0.0000,0.0,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,11,292.9000,0.0280,0.1195,0.0000,0.0,2,2,4,3,1,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,9,1238.3333,0.0000,0.0407,0.0000,0.4,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,10,225.4667,0.0000,0.0500,0.0000,0.4,2,1,1,8,3,3,0,0
4,462.0000,0,0.0000,51,1873.2167,0.0000,0.0075,0.0000,0.6,2,2,2,9,3,3,0,0
0,0.0000,0,0.0000,3,13.0000,0.1333,0.1667,0.0000,0.0,2,2,4,1,1,3,0,0
0,0.0000,0,0.0000,2,222.0000,0.0000,0.1000,0.0000,0.0,2,2,6,1,2,3,1,0
2,20.0000,0,0.0000,16,214.8333,0.0000,0.0222,0.0000,0.0,2,2,2,1,6,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,3,2,3,3,3,0,0
0,0.0000,0,0.0000,6,2017.1667,0.0000,0.0111,0.0000,0.8,2,2,2,4,3,3,0,0
6,111.5000,0,0.0000,26,449.0278,0.0000,0.0185,0.0000,0.6,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,6,158.1667,0.0000,0.0333,0.0000,0.0,2,3,2,4,2,3,0,0
0,0.0000,0,0.0000,9,303.6667,0.0056,0.0463,0.0000,0.0,2,2,4,5,2,3,0,0
0,0.0000,0,0.0000,3,25.0000,0.0000,0.0667,0.0000,0.0,2,2,4,1,5,3,0,0
0,0.0000,0,0.0000,2,42.0000,0.0500,0.1500,0.0000,0.4,2,2,2,1,4,3,0,0
4,103.6250,0,0.0000,14,1003.4167,0.0000,0.0180,0.0000,0.2,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,2,2,7,3,3,0,0
0,0.0000,0,0.0000,9,272.5000,0.0000,0.0119,0.0000,0.2,2,1,1,6,3,3,0,0
3,19.0000,0,0.0000,8,344.0000,0.0000,0.0074,0.0000,0.0,2,2,4,2,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,2,2,2,3,3,0,0
0,0.0000,1,19.0000,10,852.0000,0.0000,0.0091,0.0000,0.0,2,2,2,3,6,3,0,0
0,0.0000,0,0.0000,3,780.0000,0.0667,0.0667,0.0000,0.4,2,2,4,1,3,3,0,0
0,0.0000,0,0.0000,3,1038.0000,0.0000,0.0333,0.0000,0.0,2,2,2,1,1,3,0,0
0,0.0000,0,0.0000,4,573.0000,0.0000,0.0500,0.0000,0.0,2,2,2,3,3,3,0,0
0,0.0000,0,0.0000,28,1231.2333,0.0071,0.0304,0.0000,0.0,2,1,1,4,3,3,0,0
0,0.0000,0,0.0000,11,316.6667,0.0000,0.0273,0.0000,0.8,2,2,2,2,1,3,0,0
0,0.0000,0,0.0000,20,873.7365,0.0075,0.0282,0.0000,0.0,2,1,2,1,1,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.4,2,2,2,3,4,3,0,0
0,0.0000,0,0.0000,4,16.0000,0.1000,0.1500,0.0000,0.0,2,2,5,5,1,3,0,0
0,0.0000,0,0.0000,19,615.0000,0.0000,0.0263,0.0000,0.2,2,2,2,3,3,3,0,0
0,0.0000,0,0.0000,9,261.7500,0.0000,0.0267,0.0000,0.0,2,2,6,1,1,3,0,0
0,0.0000,0,0.0000,21,615.8831,0.0333,0.0499,0.0000,0.0,2,3,2,2,1,3,1,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,3,3,3,2,3,1,0
0,0.0000,0,0.0000,6,117.5000,0.0000,0.0333,0.0000,0.8,2,1,1,1,3,3,1,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,3,2,3,3,3,0,0
0,0.0000,0,0.0000,23,501.6667,0.0087,0.0188,0.0000,0.6,2,1,1,4,2,3,0,0
2,58.0000,2,22.0000,31,829.1667,0.0303,0.0406,0.0000,0.0,2,1,1,1,1,3,1,0
1,9.5000,0,0.0000,23,1223.0000,0.0152,0.0125,0.0000,0.0,2,1,1,1,2,3,1,0
0,0.0000,0,0.0000,6,467.0000,0.0000,0.0167,0.0000,0.4,2,1,1,3,3,3,0,0
0,0.0000,0,0.0000,23,737.1667,0.0087,0.0116,0.0000,0.6,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,12,129.0000,0.0000,0.0333,0.0000,0.0,2,1,1,3,2,3,0,0
0,0.0000,0,0.0000,5,63.0000,0.0000,0.0400,0.0000,0.0,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,5,125.0000,0.0867,0.1667,0.0000,0.0,2,2,2,1,3,3,0,0
0,0.0000,0,0.0000,11,684.3333,0.0182,0.0636,0.0000,0.0,2,2,4,6,1,3,0,0
0,0.0000,0,0.0000,20,665.4722,0.0000,0.0145,0.0000,0.8,2,3,2,7,4,3,1,0
1,0.0000,0,0.0000,15,487.5000,0.0000,0.0192,0.0000,0.8,2,1,1,2,4,3,1,0
0,0.0000,0,0.0000,17,437.1667,0.0111,0.0333,0.0000,0.0,2,2,4,1,3,3,0,0
0,0.0000,0,0.0000,3,55.0000,0.0667,0.1000,0.0000,0.6,2,1,1,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.8,2,1,1,1,2,3,1,0
5,41.3000,0,0.0000,24,446.9278,0.0000,0.0086,0.0000,1.0,2,2,2,8,1,3,1,0
3,87.0000,0,0.0000,10,320.5000,0.0000,0.0154,0.0000,0.0,2,1,1,2,3,3,0,0
0,0.0000,0,0.0000,7,666.0000,0.0000,0.0143,0.0000,0.0,2,1,1,6,2,3,0,0
1,0.0000,0,0.0000,21,405.7095,0.0107,0.0470,0.0000,0.0,2,1,1,1,4,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,3,2,3,3,3,0,0
0,0.0000,0,0.0000,6,163.2500,0.0333,0.0333,0.0000,0.6,2,1,1,6,2,3,0,0
0,0.0000,0,0.0000,17,284.2500,0.0000,0.0118,0.0000,0.0,2,3,2,6,2,3,1,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.6,2,4,2,1,3,3,0,0
0,0.0000,0,0.0000,1,0.0000,0.2000,0.2000,0.0000,0.0,2,2,4,1,1,3,0,0
0,0.0000,0,0.0000,8,260.0000,0.0083,0.0250,0.0000,0.8,2,3,2,1,3,3,1,0
0,0.0000,16,1210.3976,5,279.8571,0.0032,0.0128,0.0000,0.0,3,2,2,1,8,3,0,0
0,0.0000,0,0.0000,20,927.4500,0.0111,0.0272,8.0007,0.0,3,1,1,3,1,3,0,0
2,9.0000,0,0.0000,50,836.8000,0.0000,0.0063,0.0000,0.0,3,2,2,3,2,3,0,0
10,293.7782,2,153.0000,96,3283.1667,0.0020,0.0135,0.0000,0.0,3,3,2,6,2,3,1,0
9,111.5000,1,48.5000,49,1868.8197,0.0000,0.0207,1.7060,0.0,3,2,2,7,2,3,0,1
3,47.0000,1,51.0000,68,3008.1241,0.0071,0.0167,46.5302,0.0,3,2,2,1,1,3,0,0
0,0.0000,0,0.0000,2,0.0000,0.2000,0.2000,0.0000,0.0,3,1,1,1,3,3,0,0
3,1226.0000,5,3.0000,24,3230.2500,0.0362,0.0960,0.0000,0.0,3,2,2,1,2,3,0,0
3,52.0000,0,0.0000,9,319.0000,0.0000,0.0200,0.0000,0.0,3,1,1,1,1,3,0,0
0,0.0000,0,0.0000,3,42.0000,0.0000,0.0667,0.0000,0.0,3,2,2,3,1,3,0,0
0,0.0000,0,0.0000,22,354.3333,0.0091,0.0577,0.0000,0.0,3,1,1,7,2,3,1,0
0,0.0000,0,0.0000,98,3556.6124,0.0021,0.0102,0.0000,0.0,3,1,1,1,3,3,0,0
2,56.0000,1,144.0000,67,2563.7833,0.0000,0.0058,19.3427,0.0,3,2,2,4,2,2,0,1
3,112.9608,0,0.0000,13,3014.0185,0.0131,0.0614,0.0000,0.0,3,2,2,1,2,3,0,0
0,0.0000,0,0.0000,17,840.2333,0.0000,0.0017,109.1760,0.0,3,2,2,9,2,2,0,1
3,94.0000,2,125.0000,55,1970.8448,0.0000,0.0017,96.2551,0.0,3,2,4,1,2,2,1,1
1,32.0000,0,0.0000,50,2867.0000,0.0000,0.0040,153.4432,0.0,3,2,2,7,8,3,1,1
0,0.0000,0,0.0000,5,43.0000,0.0000,0.0400,0.0000,0.0,3,1,1,1,9,3,1,0
5,218.0000,0,0.0000,13,284.5000,0.0000,0.0042,0.0000,0.0,3,1,1,1,2,2,0,0
0,0.0000,0,0.0000,3,133.5000,0.0000,0.0889,0.0000,0.0,3,1,2,1,8,3,0,0
1,119.0000,0,0.0000,12,297.6667,0.0000,0.0083,0.0000,0.0,3,3,2,1,10,3,0,0
3,281.0000,0,0.0000,16,453.7500,0.0000,0.0053,0.0000,0.0,3,2,2,5,2,2,0,0
1,18.0000,0,0.0000,16,1331.7500,0.0000,0.0125,33.7996,0.0,3,2,5,2,3,2,0,1
2,40.0000,0,0.0000,5,558.5000,0.0000,0.0286,0.0000,0.0,3,2,2,7,2,2,1,0
3,107.0000,0,0.0000,4,145.8333,0.0000,0.0167,0.0000,0.0,3,3,2,7,1,2,0,0
0,0.0000,0,0.0000,8,731.0000,0.0000,0.0438,0.0000,0.0,3,2,4,1,3,3,0,0
2,49.0000,1,127.0000,4,188.0000,0.0333,0.0375,0.0000,0.0,3,3,2,3,2,3,0,0
0,0.0000,0,0.0000,14,565.3333,0.0376,0.0495,0.0000,0.0,3,2,6,3,1,3,0,0
0,0.0000,0,0.0000,2,50.0000,0.0000,0.0500,0.0000,0.0,3,3,2,8,11,3,0,0
4,57.0000,0,0.0000,7,591.0000,0.0067,0.0333,0.0000,0.0,3,1,2,6,6,3,1,0
2,2.0000,3,261.0000,10,281.0000,0.0000,0.0429,0.0000,0.0,3,2,2,1,2,3,0,0
2,123.0000,2,306.3333,18,483.8333,0.0000,0.0200,0.0000,0.0,3,2,2,4,1,3,0,0
2,118.0000,0,0.0000,4,42.0000,0.0000,0.0667,0.0000,0.0,3,1,2,7,3,3,0,0
0,0.0000,0,0.0000,35,1192.3861,0.0057,0.0286,0.0000,0.0,3,2,4,2,2,3,0,0
0,0.0000,0,0.0000,12,198.0000,0.0167,0.0750,0.0000,0.0,3,2,2,3,2,3,0,0
0,0.0000,0,0.0000,3,15.0000,0.0000,0.0667,0.0000,0.0,3,2,4,3,12,3,0,0
2,38.0000,0,0.0000,14,643.0000,0.0000,0.0133,35.0928,0.0,3,2,2,5,1,3,0,1
0,0.0000,0,0.0000,5,23.0000,0.0800,0.1200,0.0000,0.0,3,2,2,1,1,3,0,0
0,0.0000,0,0.0000,4,14.0000,0.1000,0.1500,0.0000,0.0,3,3,2,1,1,3,0,0
1,54.0000,0,0.0000,6,210.5000,0.0000,0.0200,0.0000,0.0,3,2,2,1,8,2,0,0
1,993.0000,0,0.0000,28,1529.3047,0.0015,0.0092,0.0000,0.0,3,3,2,4,2,3,0,0
0,0.0000,0,0.0000,2,19.0000,0.0000,0.1000,0.0000,0.0,3,2,2,3,11,3,1,0
5,74.2500,2,84.0000,37,1599.0833,0.0000,0.0066,0.0000,0.0,3,2,2,4,1,3,0,0
0,0.0000,0,0.0000,9,102.5000,0.0000,0.0222,0.0000,0.0,3,2,2,1,3,3,0,0
0,0.0000,0,0.0000,16,2337.0000,0.0000,0.0133,17.7627,0.0,3,2,2,1,1,3,0,1
0,0.0000,0,0.0000,19,1883.5000,0.0105,0.0211,0.0000,0.0,3,2,2,1,3,3,0,0
2,32.0000,0,0.0000,50,1245.3000,0.0040,0.0207,7.1463,0.0,3,2,2,7,9,3,1,0
6,666.8333,0,0.0000,22,1674.5833,0.0000,0.0147,0.0000,0.0,3,2,2,3,2,3,0,0
0,0.0000,0,0.0000,9,132.0000,0.0111,0.0333,0.0000,0.0,3,4,1,1,3,3,1,0
1,73.0000,1,740.0000,50,1434.2551,0.0000,0.0192,22.0328,0.0,3,2,2,3,2,3,1,0
2,154.0000,0,0.0000,18,367.2500,0.0053,0.0442,0.0000,0.0,3,3,2,2,1,3,1,0
3,49.3333,5,303.2500,7,148.5000,0.0000,0.0141,0.0000,0.0,3,3,2,2,2,3,0,0
3,118.5000,0,0.0000,29,1482.2108,0.0069,0.0106,0.0000,0.0,3,3,2,1,8,3,1,0
6,153.5000,0,0.0000,34,1048.4921,0.0116,0.0322,0.0000,0.0,3,2,6,1,1,3,1,0
0,0.0000,0,0.0000,9,478.0000,0.0000,0.0111,0.0000,0.0,3,3,2,2,3,3,1,0
0,0.0000,0,0.0000,16,980.2500,0.0000,0.0400,0.0000,0.0,3,2,2,4,3,3,0,0
8,72.2500,1,21.5000,51,1124.6931,0.0228,0.0366,0.0000,0.0,3,2,2,2,2,3,0,0
2,24.5000,0,0.0000,22,353.1667,0.0182,0.0318,0.0000,0.0,3,2,5,1,3,3,0,0
1,0.0000,0,0.0000,18,1489.0833,0.0235,0.0465,0.0000,0.0,3,2,2,8,1,3,0,0
0,0.0000,1,1220.0000,28,2389.3333,0.0167,0.0308,0.0000,0.0,3,2,2,1,3,3,1,0
0,0.0000,0,0.0000,7,753.0000,0.0000,0.0095,0.0000,0.0,3,2,10,1,2,3,0,0
